,Valence,Arousal,Dominance
smile,0.86125,0.4525,0.84
laugh,0.82,0.7025,0.79875
yawn,0.5775,0.23,0.46
walk,0.72125,0.28,0.60375
pace,0.5,0.25,0.63875
run,0.67625,0.53,0.555
phone,0.63625,0.30375,0.43
call,0.6475,0.28625,0.57625
headphones,0.68375,0.25,0.615
photograph,0.70125,0.44625,0.6
film,0.66625,0.3875,0.64625
play,0.81875,0.35125,0.66125
read,0.71625,0.3375,0.63875
eat,0.7625,0.4225,0.7825
chew,0.5725,0.35,0.685
drink,0.70875,0.52375,0.60875
talk,0.705,0.2975,0.68
smoke,0.305,0.5,0.39625
